LSOAcode,burglary_count,LAname,IMDscore,IMDrank,IMDdeci,incscore,LSOAname,pop
E01004766,27,Bolton,30.687,7694,3,0.18,Bolton 005A,1596
E01004767,33,Bolton,24.997,10776,4,0.134,Bolton 005B,1673
E01004768,11,Bolton,7.028,28288,9,0.036,Bolton 001A,1607
E01004769,10,Bolton,10.019,24505,8,0.043,Bolton 003A,1535
E01004770,13,Bolton,11.437,22815,7,0.059,Bolton 003B,1457
E01004771,21,Bolton,5.833,29639,10,0.034,Bolton 003C,1647
E01004772,8,Bolton,34.074,6242,2,0.233,Bolton 005C,1735
E01004773,25,Bolton,13.745,20211,7,0.098,Bolton 003D,1971
E01004774,14,Bolton,31.354,7377,3,0.2,Bolton 005D,1677
E01004775,30,Bolton,12.812,21251,7,0.05,Bolton 014A,1509
E01004776,21,Bolton,22.479,12402,4,0.129,Bolton 031A,1811
E01004777,13,Bolton,31.728,7187,3,0.185,Bolton 004A,1599
E01004778,9,Bolton,8.945,25859,8,0.06,Bolton 009A,1182
E01004779,10,Bolton,19.636,14679,5,0.131,Bolton 007A,1562
E01004780,22,Bolton,9.426,25234,8,0.058,Bolton 009B,1990
E01004781,32,Bolton,12.787,21281,7,0.081,Bolton 007B,1825
E01004782,14,Bolton,24.964,10788,4,0.153,Bolton 009C,1116
E01004783,11,Bolton,14.407,19530,6,0.082,Bolton 009D,1492
E01004784,11,Bolton,8.416,26540,9,0.037,Bolton 006A,1262
E01004785,18,Bolton,25.123,10688,4,0.151,Bolton 006B,1422
E01004786,11,Bolton,13.546,20437,7,0.074,Bolton 006C,1451
E01004787,23,Bolton,67.018,401,1,0.435,Bolton 013A,1617
E01004788,14,Bolton,6.331,29064,9,0.036,Bolton 002A,1392
E01004789,12,Bolton,8.413,26544,9,0.036,Bolton 006D,1407
E01004790,19,Bolton,15.653,18283,6,0.074,Bolton 002B,1433
E01004791,9,Bolton,9.547,25063,8,0.068,Bolton 006E,1231
E01004792,13,Bolton,5.601,29903,10,0.027,Bolton 006F,1462
E01004793,12,Bolton,50.299,2135,1,0.291,Bolton 013B,1613
E01004794,15,Bolton,63.88,599,1,0.433,Bolton 013C,1788
E01004795,23,Bolton,45.227,3014,1,0.231,Bolton 013D,1483
E01004796,30,Bolton,29.999,8023,3,0.133,Bolton 019A,1493
E01004797,11,Bolton,53.253,1684,1,0.315,Bolton 013E,1371
E01004798,22,Bolton,38.934,4592,2,0.192,Bolton 019B,1657
