"","x","x_2","lsoa11cd","lsoa11nm","local_authority_district_name_2019","total_stop_searches","political_control","index_of_multiple_deprivation_imd_decile","log_total_stop_searches","crime_score"
"1",1,1,"E01000006","Barking and Dagenham 016A","Barking and Dagenham",26,"Labour","5",1.41497334797082,-0.1
"2",2,2,"E01000007","Barking and Dagenham 015A","Barking and Dagenham",76,"Labour","3",1.88081359228079,0.8
"3",3,3,"E01000008","Barking and Dagenham 015B","Barking and Dagenham",197,"Labour","2",2.29446622616159,0.4
"4",4,4,"E01000009","Barking and Dagenham 016B","Barking and Dagenham",246,"Labour","3",2.39093510710338,0.9
"5",5,5,"E01000010","Barking and Dagenham 015C","Barking and Dagenham",1027,"Labour","3",3.01157044359728,1.2
"6",6,6,"E01000011","Barking and Dagenham 016C","Barking and Dagenham",4,"Labour","3",0.602059991327962,0.5
"7",7,7,"E01000012","Barking and Dagenham 015D","Barking and Dagenham",439,"Labour","2",2.64246452024212,0.5
"8",8,8,"E01000013","Barking and Dagenham 013A","Barking and Dagenham",51,"Labour","2",1.70757017609794,1.2
"9",9,9,"E01000014","Barking and Dagenham 013B","Barking and Dagenham",18,"Labour","2",1.25527250510331,0.8
"10",10,10,"E01000015","Barking and Dagenham 009A","Barking and Dagenham",29,"Labour","2",1.46239799789896,0.4
"11",11,11,"E01000016","Barking and Dagenham 009B","Barking and Dagenham",11,"Labour","3",1.04139268515823,0.5
"12",12,12,"E01000017","Barking and Dagenham 009C","Barking and Dagenham",3,"Labour","2",0.477121254719662,0.3
"13",13,13,"E01000018","Barking and Dagenham 009D","Barking and Dagenham",1,"Labour","2",0,0.5
"14",14,14,"E01000019","Barking and Dagenham 023A","Barking and Dagenham",8,"Labour","2",0.903089986991944,0.6
"15",15,15,"E01000020","Barking and Dagenham 023B","Barking and Dagenham",1,"Labour","2",0,0.7
"16",16,16,"E01000021","Barking and Dagenham 008A","Barking and Dagenham",134,"Labour","2",2.12710479836481,0.6
"17",17,17,"E01000023","Barking and Dagenham 008C","Barking and Dagenham",28,"Labour","2",1.44715803134222,1.3
"18",18,18,"E01000024","Barking and Dagenham 008D","Barking and Dagenham",3,"Labour","3",0.477121254719662,0.2
"19",19,19,"E01000027","Barking and Dagenham 001A","Barking and Dagenham",26,"Labour","2",1.41497334797082,1
"20",20,20,"E01000028","Barking and Dagenham 001B","Barking and Dagenham",12,"Labour","2",1.07918124604762,-0.1
"21",21,21,"E01000029","Barking and Dagenham 001C","Barking and Dagenham",16,"Labour","4",1.20411998265592,0.4
"22",22,22,"E01000030","Barking and Dagenham 001D","Barking and Dagenham",10,"Labour","2",1,0.5
"23",23,23,"E01000031","Barking and Dagenham 002A","Barking and Dagenham",15,"Labour","4",1.17609125905568,0.9
"24",24,24,"E01000032","Barking and Dagenham 002B","Barking and Dagenham",15,"Labour","3",1.17609125905568,0.9
"25",25,25,"E01000033","Barking and Dagenham 006A","Barking and Dagenham",2,"Labour","2",0.301029995663981,0.2
"26",26,26,"E01000034","Barking and Dagenham 003A","Barking and Dagenham",88,"Labour","2",1.94448267215017,0.3
"27",27,27,"E01000035","Barking and Dagenham 010A","Barking and Dagenham",39,"Labour","4",1.5910646070265,0.2
"28",28,28,"E01000036","Barking and Dagenham 010B","Barking and Dagenham",11,"Labour","5",1.04139268515823,0.4
"29",29,29,"E01000037","Barking and Dagenham 003B","Barking and Dagenham",5,"Labour","5",0.698970004336019,-0.1
"30",30,30,"E01000038","Barking and Dagenham 003C","Barking and Dagenham",25,"Labour","5",1.39794000867204,0.2
"31",31,31,"E01000039","Barking and Dagenham 003D","Barking and Dagenham",11,"Labour","4",1.04139268515823,0.1
"32",32,32,"E01000040","Barking and Dagenham 019A","Barking and Dagenham",51,"Labour","2",1.70757017609794,0.6
"33",33,33,"E01000041","Barking and Dagenham 017A","Barking and Dagenham",1,"Labour","3",0,0.4
"34",34,34,"E01000042","Barking and Dagenham 017B","Barking and Dagenham",25,"Labour","2",1.39794000867204,0.3
"35",35,35,"E01000043","Barking and Dagenham 019B","Barking and Dagenham",7,"Labour","3",0.845098040014257,0.6
"36",36,36,"E01000044","Barking and Dagenham 016D","Barking and Dagenham",8,"Labour","3",0.903089986991944,1.1
"37",37,37,"E01000045","Barking and Dagenham 017C","Barking and Dagenham",13,"Labour","2",1.11394335230684,1.2
"38",38,38,"E01000046","Barking and Dagenham 017D","Barking and Dagenham",4,"Labour","3",0.602059991327962,0
"39",39,39,"E01000048","Barking and Dagenham 021B","Barking and Dagenham",12,"Labour","1 (most deprived)",1.07918124604762,0.2
"40",40,40,"E01000049","Barking and Dagenham 021C","Barking and Dagenham",36,"Labour","2",1.55630250076729,0.4
"41",41,41,"E01000050","Barking and Dagenham 019C","Barking and Dagenham",43,"Labour","2",1.63346845557959,0.7
"42",42,42,"E01000051","Barking and Dagenham 021D","Barking and Dagenham",8,"Labour","2",0.903089986991944,0.9
"43",43,43,"E01000052","Barking and Dagenham 019D","Barking and Dagenham",51,"Labour","2",1.70757017609794,0.3
"44",44,44,"E01000053","Barking and Dagenham 020A","Barking and Dagenham",18,"Labour","2",1.25527250510331,1.2
"45",45,45,"E01000054","Barking and Dagenham 018A","Barking and Dagenham",11,"Labour","3",1.04139268515823,0.5
"46",46,46,"E01000055","Barking and Dagenham 018B","Barking and Dagenham",5,"Labour","3",0.698970004336019,0
"47",47,47,"E01000056","Barking and Dagenham 018C","Barking and Dagenham",21,"Labour","2",1.32221929473392,0.5
"48",48,48,"E01000057","Barking and Dagenham 012A","Barking and Dagenham",15,"Labour","3",1.17609125905568,0.6
"49",49,49,"E01000058","Barking and Dagenham 018D","Barking and Dagenham",9,"Labour","3",0.954242509439325,0.4
"50",50,50,"E01000059","Barking and Dagenham 013C","Barking and Dagenham",7,"Labour","3",0.845098040014257,0.4
"51",51,51,"E01000060","Barking and Dagenham 006B","Barking and Dagenham",25,"Labour","2",1.39794000867204,1.1
"52",52,52,"E01000061","Barking and Dagenham 006C","Barking and Dagenham",42,"Labour","1 (most deprived)",1.6232492903979,0.1
"53",53,53,"E01000062","Barking and Dagenham 006D","Barking and Dagenham",25,"Labour","3",1.39794000867204,0.6
"54",54,54,"E01000063","Barking and Dagenham 004A","Barking and Dagenham",1,"Labour","2",0,0.3
"55",55,55,"E01000064","Barking and Dagenham 006E","Barking and Dagenham",38,"Labour","2",1.57978359661681,0.2
"56",56,56,"E01000065","Barking and Dagenham 007A","Barking and Dagenham",37,"Labour","2",1.56820172406699,0.3
"57",57,57,"E01000066","Barking and Dagenham 011A","Barking and Dagenham",48,"Labour","4",1.68124123737559,-0.3
"58",58,58,"E01000067","Barking and Dagenham 011B","Barking and Dagenham",8,"Labour","5",0.903089986991944,0.4
"59",59,59,"E01000068","Barking and Dagenham 016E","Barking and Dagenham",48,"Labour","4",1.68124123737559,0.9
"60",60,60,"E01000069","Barking and Dagenham 011C","Barking and Dagenham",6,"Labour","6",0.778151250383644,0
"61",61,61,"E01000070","Barking and Dagenham 011D","Barking and Dagenham",177,"Labour","5",2.24797326636181,0.8
"62",62,62,"E01000071","Barking and Dagenham 011E","Barking and Dagenham",16,"Labour","5",1.20411998265592,-0.2
"63",63,63,"E01000072","Barking and Dagenham 017E","Barking and Dagenham",12,"Labour","2",1.07918124604762,1.2
"64",64,64,"E01000073","Barking and Dagenham 012B","Barking and Dagenham",51,"Labour","2",1.70757017609794,1.3
"65",65,65,"E01000075","Barking and Dagenham 012D","Barking and Dagenham",107,"Labour","2",2.02938377768521,1.1
"66",66,66,"E01000076","Barking and Dagenham 012E","Barking and Dagenham",6,"Labour","2",0.778151250383644,0.3
"67",67,67,"E01000077","Barking and Dagenham 008F","Barking and Dagenham",27,"Labour","2",1.43136376415899,0.5
"68",68,68,"E01000078","Barking and Dagenham 007B","Barking and Dagenham",2,"Labour","2",0.301029995663981,0.5
"69",69,69,"E01000079","Barking and Dagenham 009E","Barking and Dagenham",7,"Labour","2",0.845098040014257,0.3
"70",70,70,"E01000080","Barking and Dagenham 007C","Barking and Dagenham",4,"Labour","3",0.602059991327962,0.1
"71",71,71,"E01000081","Barking and Dagenham 007D","Barking and Dagenham",1,"Labour","3",0,0.2
"72",72,72,"E01000082","Barking and Dagenham 007E","Barking and Dagenham",28,"Labour","3",1.44715803134222,-0.2
"73",73,73,"E01000083","Barking and Dagenham 007F","Barking and Dagenham",64,"Labour","2",1.80617997398389,0.4
"74",74,74,"E01000084","Barking and Dagenham 013D","Barking and Dagenham",73,"Labour","2",1.86332286012046,1.3
"75",75,75,"E01000085","Barking and Dagenham 013E","Barking and Dagenham",23,"Labour","2",1.36172783601759,1
"76",76,76,"E01000086","Barking and Dagenham 013F","Barking and Dagenham",5,"Labour","2",0.698970004336019,0.9
"77",77,77,"E01000087","Barking and Dagenham 020B","Barking and Dagenham",84,"Labour","2",1.92427928606188,0.1
"78",78,78,"E01000088","Barking and Dagenham 020C","Barking and Dagenham",12,"Labour","3",1.07918124604762,0.6
"79",79,79,"E01000089","Barking and Dagenham 020D","Barking and Dagenham",2,"Labour","3",0.301029995663981,0.2
"80",80,80,"E01000090","Barking and Dagenham 020E","Barking and Dagenham",10,"Labour","3",1,0.7
"81",81,81,"E01000091","Barking and Dagenham 022A","Barking and Dagenham",25,"Labour","2",1.39794000867204,1
"82",82,82,"E01000092","Barking and Dagenham 019E","Barking and Dagenham",63,"Labour","2",1.79934054945358,0.7
"83",83,83,"E01000093","Barking and Dagenham 022B","Barking and Dagenham",18,"Labour","1 (most deprived)",1.25527250510331,1.1
"84",84,84,"E01000094","Barking and Dagenham 022C","Barking and Dagenham",19,"Labour","3",1.27875360095283,0.5
"85",85,85,"E01000095","Barking and Dagenham 018E","Barking and Dagenham",31,"Labour","3",1.49136169383427,0.9
"86",86,86,"E01000096","Barking and Dagenham 022D","Barking and Dagenham",58,"Labour","2",1.76342799356294,1.3
"87",87,87,"E01000097","Barking and Dagenham 023C","Barking and Dagenham",11,"Labour","2",1.04139268515823,0.5
"88",88,88,"E01000098","Barking and Dagenham 023D","Barking and Dagenham",7,"Labour","2",0.845098040014257,0.9
"89",89,89,"E01000099","Barking and Dagenham 023E","Barking and Dagenham",10,"Labour","3",1,0
"90",90,90,"E01000100","Barking and Dagenham 004B","Barking and Dagenham",15,"Labour","3",1.17609125905568,0.6
"91",91,91,"E01000101","Barking and Dagenham 004C","Barking and Dagenham",6,"Labour","2",0.778151250383644,0.8
"92",92,92,"E01000102","Barking and Dagenham 007G","Barking and Dagenham",14,"Labour","2",1.14612803567824,0.8
"93",93,93,"E01000103","Barking and Dagenham 014A","Barking and Dagenham",26,"Labour","3",1.41497334797082,0.6
"94",94,94,"E01000104","Barking and Dagenham 014B","Barking and Dagenham",31,"Labour","2",1.49136169383427,0.1
"95",95,95,"E01000105","Barking and Dagenham 014C","Barking and Dagenham",69,"Labour","1 (most deprived)",1.83884909073726,1
"96",96,96,"E01000106","Barking and Dagenham 014D","Barking and Dagenham",21,"Labour","2",1.32221929473392,0.8
"97",97,97,"E01000107","Barking and Dagenham 010C","Barking and Dagenham",2,"Labour","3",0.301029995663981,0
"98",98,98,"E01000108","Barking and Dagenham 010D","Barking and Dagenham",10,"Labour","3",1,0.2
"99",99,99,"E01000110","Barking and Dagenham 002C","Barking and Dagenham",3,"Labour","5",0.477121254719662,-0.3
